Province/State,Country/Region,Last Update,Deaths,Confirmed,Recovered
Vermont,US,2020-03-23 23:19:34,5,75,0
Victoria,Australia,2020-03-23 23:23:20,0,355,97
Virgin Islands,US,2020-03-23 23:19:34,0,7,0
Virginia,US,2020-03-23 23:19:34,6,254,0
Washington,US,2020-03-23 23:19:34,109,2221,0
West Virginia,US,2020-03-23 23:19:34,0,16,0
Western Australia,Australia,2020-03-23 23:23:20,1,140,1
Wisconsin,US,2020-03-23 23:19:34,5,425,0
Wuhan Evacuee,US,2020-03-23 23:19:34,0,4,0
Wyoming,US,2020-03-23 23:19:34,0,26,0
Xinjiang,China,2020-03-08 05:31:02,3,76,73
Yunnan,China,2020-03-16 23:37:18,2,176,172
Zhejiang,China,2020-03-23 01:08:15,1,1238,1221
