出發地,目的地,路線信息,酒店信息
杭州,麗江,"自由行
麗江+香格里拉 <超值雙飛>麗江+香格里拉5天自由行 贈送歌舞會特色美食旅游車+接機
多商圈特色客棧
7天6晚|天天出發|中國國際航空直飛|多酒店可選
2938起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 <飛機往返麗江> 麗江+大理+香格里拉5天自由行+管家式服務（內附游玩攻略）
多商圈特色客棧
5天4晚|端午|多機票可選|多酒店可選
5.0分 | 已售28人
2680起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理+香格里拉 <飛機往返麗江> 麗江+大理+香格里拉7天自由行+管家式服務（內附游玩攻略）
主題樂園多商圈特色客棧
7天6晚|端午|多機票可選|多酒店可選
5.0分 | 已售25人
3080起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理+香格里拉 <飛機往返麗江> 麗江+大理+香格里拉6天自由行+管家式服務（內附游玩攻略）
多商圈特色客棧
6天5晚|端午|多機票可選|多酒店可選
5.0分 | 已售22人
2880起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理+香格里拉 蜜約麗江遇見麗江,品味旅行！贈送甜點下午茶+蜜月房布置+贈送精美寫真
蜜月旅行多商圈特色客棧
5天4晚|天天出發|直飛|多酒店可選
3498起/人","4.9分
高檔型"
杭州,麗江,"自由行
麗江+香格里拉 往返直飛麗江+香格里拉+瀘沽湖7日游（贈20KM專用車+特色餐）附旅游攻略
多商圈特色客棧
7天6晚|天天出發|直飛|多酒店可選
3138起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 畢業旅行推薦 各地飛麗江大理香格里拉私人定制，五星酒店或豪華客棧 ZYZD7
多商圈雙廊玉龍雪山游雙古城
7天6晚|天天出發|直飛|多酒店可選
5.0分 | 已售29人
6880起/人","4.6分
豪華型"
杭州,麗江,"自由行
麗江+香格里拉 DIY 麗江+香格里拉+瀘沽湖7日游（含往返機票+20KM專用車）附旅游攻略
多商圈特色客棧
7天6晚|天天出發|直飛|多酒店可選
3138起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 麗江香格里拉大理7天自由行 贈送歌舞會特色美食旅游車玫瑰莊園+接機
多商圈, 含接送機
7天6晚|天天出發|直飛|多酒店可選
3168起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 直飛麗江9天自由行（含往返機票+20KM專用車+接送機+特色客棧）附旅游攻略
多商圈, 含接送機
9天8晚|天天出發|直飛|多酒店可選
3418起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 純玩+不限年齡+洱海騎行+直飛麗江，大理、麗江、香格里拉8日半自由行！
多商圈洱海騎行雙廊游雙古城
8天7晚|端午|直飛|多酒店可選
5.0分 | 已售26人
2990起/人","4.4分
高檔型"
杭州,麗江,"自由行
麗江+大理+香格里拉 雙飛麗江<麗江+瀘沽湖+香格里拉+大理9天自由行>贈表演+接送機+專車使用
主題樂園多商圈海邊客棧特色客棧
9天8晚|天天出發|直飛|多酒店可選
2940起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 <雙飛往返麗江>麗江、香格里拉、瀘沽湖、大理9天自由行管家式服務（附攻略）
主題樂園多商圈海邊客棧特色客棧
9天8晚|端午|多機票可選|多酒店可選
2488起/人","4.9分
舒適型"
杭州,麗江,"機酒自由行
麗江+大理+香格里拉 直飛麗江自由行5日麗江古城+特色客棧+贈拉市海.三股水.束河古鎮一日游
多商圈特色客棧
5天4晚|端午|直飛|多酒店可選
2858起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+香格里拉 直飛麗江<麗江+香格里拉雙飛6日自由行>贈歌舞表演麗水金沙+接送機+專車使用
多商圈特色客棧
6天5晚|端午|直飛|多酒店可選
2490起/人","4.9分
舒適型"
