Date,Open,High,Low,Close,Volume,Adj Close
6/30/2006,11190.79981,11235.62988,11150.05957,11150.21973,365670000,11150.21973
6/29/2006,10974.36035,11195.54004,10974.36035,11190.79981,337830000,11190.79981
6/28/2006,10925.29981,10981.25,10902.48047,10973.55957,260240000,10973.55957
6/27/2006,11048.24023,11064.08984,10920.73047,10924.74023,269010000,10924.74023
6/26/2006,10990.29004,11048.71973,10973.71973,11045.28027,202770000,11045.28027
6/23/2006,11019.19043,11074.25977,10973.40039,10989.08984,221940000,10989.08984
6/22/2006,11077.78027,11077.78027,10986.13965,11019.11035,250460000,11019.11035
6/21/2006,10975.24023,11131.73047,10971.71973,11079.45996,309290000,11079.45996
6/20/2006,10942.03027,11029.83008,10938.41992,10974.83984,274060000,10974.83984
6/19/2006,11014.87012,11057.61035,10907.29004,10942.11035,377040000,10942.11035
6/16/2006,11014.37988,11045.2002,10984.12988,11014.54981,451930000,11014.54981
6/15/2006,10817.48047,11036.48047,10817.48047,11015.19043,358870000,11015.19043
6/14/2006,10706.78027,10817,10698.84961,10816.91992,355620000,10816.91992
6/13/2006,10783.13965,10862.29981,10700.92969,10706.13965,399220000,10706.13965
6/12/2006,10892,10927.12012,10790.25977,10792.58008,272490000,10792.58008
6/9/2006,10939.13965,10976.2002,10871.58984,10891.91992,272930000,10891.91992
6/8/2006,10929.7002,10964.67969,10757.54981,10938.82031,442150000,10938.82031
6/7/2006,11002.05957,11077.37988,10928.33984,10930.90039,333490000,10930.90039
6/6/2006,11048.24023,11094.25977,10926.41992,11002.13965,385870000,11002.13965
6/5/2006,11247.54981,11248.79004,11040.24023,11048.71973,254990000,11048.71973
6/2/2006,11260.51953,11285.82031,11191.53027,11247.87012,268640000,11247.87012
6/1/2006,11169.03027,11270.20996,11150.07031,11260.28027,295150000,11260.28027
5/31/2006,11091.15039,11183.04004,11085.37988,11168.30957,353660000,11168.30957
5/30/2006,11277.25,11278.12988,11094.34961,11094.42969,261260000,11094.42969
5/26/2006,11211.69043,11283.49023,11211.54004,11278.61035,240330000,11278.61035
5/25/2006,11114.95996,11214.98047,11114.95996,11211.04981,295350000,11211.04981
5/24/2006,11100.11035,11168.24023,11030.46973,11117.32031,466330000,11117.32031
5/23/2006,11126.29004,11202.65039,11097.30957,11098.34961,315860000,11098.34961
5/22/2006,11143.41992,11175.34961,11040.07031,11125.33008,340590000,11125.33008
5/19/2006,11124.37012,11180.29004,11075.21973,11144.05957,485500000,11144.05957
5/18/2006,11206.16992,11247.38965,11127.08984,11128.29004,338300000,11128.29004
5/17/2006,11410.12988,11410.12988,11174.37988,11205.61035,399460000,11205.61035
5/16/2006,11428.20996,11460.54981,11392.66992,11419.88965,307170000,11419.88965
5/15/2006,11380.42969,11435.33984,11333.04004,11428.76953,300550000,11428.76953
5/12/2006,11500.00977,11500.00977,11374.74023,11380.99023,321240000,11380.99023
5/11/2006,11639.29004,11639.4502,11479.44043,11500.73047,322510000,11500.73047
5/10/2006,11630.48047,11670.19043,11595.17969,11642.65039,284530000,11642.65039
5/9/2006,11584.62012,11640.73047,11572.04981,11639.76953,263250000,11639.76953
5/8/2006,11576.37012,11603.58984,11561.96973,11584.54004,309920000,11584.54004
5/5/2006,11440.62012,11586.37988,11440.62012,11577.74023,338910000,11577.74023
5/4/2006,11401.79981,11463.11035,11401.79981,11438.86035,333940000,11438.86035
5/3/2006,11414.69043,11424.92969,11362.41992,11400.28027,380540000,11400.28027
