日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/28,"14,696,633","1,061,042,978",72.30,72.50,72.00,72.40,+0.20,"7,462"
108/08/29,"20,188,936","1,452,837,808",72.40,72.40,71.80,71.90,-0.50,"9,559"
108/08/30,"39,791,593","2,926,659,371",72.80,74.20,72.60,74.20,+2.30,"16,463"
108/09/02,"19,418,490","1,437,551,600",74.40,74.40,73.80,74.00,-0.20,"9,706"
108/09/03,"14,880,467","1,099,921,236",74.20,74.30,73.60,73.60,-0.40,"6,761"
108/09/04,"31,103,326","2,302,854,103",73.90,74.50,73.70,74.30,+0.70,"9,126"
108/09/05,"26,853,451","2,009,112,468",74.80,75.30,74.40,74.90,+0.60,"11,720"
108/09/06,"29,362,446","2,213,894,500",75.50,75.90,75.00,75.00,+0.10,"14,340"
108/09/09,"20,213,537","1,515,871,410",75.50,75.70,74.60,74.70,-0.30,"9,867"
108/09/10,"24,330,390","1,802,563,745",74.80,74.80,73.80,74.10,-0.60,"11,187"
108/09/11,"35,738,526","2,665,190,390",74.50,75.30,74.20,74.50,+0.40,"14,229"
108/09/12,"61,561,226","4,648,457,642",75.00,76.00,74.60,76.00,+1.50,"26,748"
108/09/16,"42,605,700","3,226,860,951",76.30,76.40,75.00,76.00, 0.00,"15,028"
108/09/17,"43,926,799","3,284,313,874",74.90,75.50,74.50,74.60,-1.40,"19,504"
108/09/18,"33,122,317","2,466,647,011",74.70,74.90,74.10,74.40,-0.20,"13,550"
108/09/19,"31,821,479","2,354,960,866",74.60,74.80,73.50,73.50,-0.90,"13,983"
108/09/20,"33,927,500","2,521,042,744",73.80,74.50,73.80,74.50,+1.00,"8,653"
108/09/23,"10,657,229","794,333,608",74.50,74.70,74.20,74.70,+0.20,"5,397"
108/09/24,"19,777,743","1,481,741,359",74.70,75.30,74.50,74.90,+0.20,"7,930"
108/09/25,"18,380,995","1,369,148,183",74.70,74.80,74.10,74.80,-0.10,"7,481"
108/09/26,"22,665,993","1,683,566,362",75.00,75.00,74.00,74.00,-0.80,"8,846"
108/09/27,"25,514,894","1,877,490,240",74.10,74.30,73.20,73.20,-0.80,"11,217"
108/10/01,"47,479,934","3,442,928,053",72.20,73.00,72.20,72.60,-0.60,"20,014"
108/10/02,"26,526,996","1,918,576,398",72.20,72.50,72.20,72.30,-0.30,"12,200"
